p_delete,p_add,radius,certified_nodes,evaluated_nodes,certified_accuracy,certified_accuracy_ci_lower,certified_accuracy_ci_upper
0.01,5e-06,0,8,10,0.8,0.49015684672072346,0.9433190520193067
0.01,5e-06,1,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,2,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,3,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,4,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,5,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,6,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,7,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,8,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,9,0,10,0.0,0.0,0.2775401687666165
0.01,5e-06,10,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,0,8,10,0.8,0.49015684672072346,0.9433190520193067
0.02,1e-05,1,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,2,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,3,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,4,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,5,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,6,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,7,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,8,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,9,0,10,0.0,0.0,0.2775401687666165
0.02,1e-05,10,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,0,8,10,0.8,0.49015684672072346,0.9433190520193067
0.05,2e-05,1,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,2,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,3,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,4,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,5,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,6,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,7,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,8,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,9,0,10,0.0,0.0,0.2775401687666165
0.05,2e-05,10,0,10,0.0,0.0,0.2775401687666165
