seed,summary_type,config_branch,model_variant,attack_variant,threshold,config_label,mode,p_delete,p_add,max_additions,evaluated_nodes,purified_plain_correct_fraction,correct_fraction,abstained_fraction,correct_abstained_fraction,correct_zero_radius_fraction,positive_certified_fraction,max_reported_radius,mean_pA_lower,mean_lower_margin,failure_reason_counts
42,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,prediction-incorrect:12
42,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,prediction-incorrect:12
42,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,prediction-incorrect:12
42,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.75,0.0,0.0,0.0,0.0,0.0,0,0.9801947140747155,0.9603894281494313,prediction-incorrect:12
42,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.75,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,prediction-incorrect:12
42,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.75,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,prediction-incorrect:12
42,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,prediction-incorrect:12
42,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,12,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0,0.9806859313166619,0.9613718626333241,prediction-incorrect:12
42,fixed-config,mainline,balanced-sparse-noisy-training,balanced-sparse-noisy-training,0.05,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,12,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0,0.9811771485586083,0.9623542971172169,prediction-incorrect:12
42,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9811771485586083,0.9623542971172168,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9811771485586083,0.9623542971172168,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.01,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,5,0.9811771485586083,0.9623542971172168,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9811771485586083,0.9623542971172168,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,symmetric-0.2,symmetric-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9811771485586083,0.9623542971172168,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.02,symmetric-0.3,symmetric-edge-flip,0.3,0.3,160,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,5,0.9811771485586083,0.9623542971172168,positive-radius:7; prediction-incorrect:4
42,fixed-config,mainline,clean-warmstart-symmetric-finetune,clean-warmstart-symmetric-finetune,0.05,balanced-sparse-0.2,sparse-edge-flip,0.2,0.2,160,11,0.5454545454545454,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2,0.9811771485586083,0.9623542971172168,positive-radius:7; prediction-incorrect:4
